Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,cape_link
"Hrvoj Mihic, Branka",ANTH 101 - Foundations/Social Complexity (A),S116,10,6,66.7 %,100.0 %,8.83,B+ (3.40),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=872827
"Butt, Waqas H",ANTH 21 - Race and Racisms (A),S116,34,7,83.3 %,100.0 %,6.17,B (3.00),B (3.24),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=872825
"Green, Ulrike Matthies",ANAR 111 - Foundations of Archaeology (A),SP16,7,3,100.0 %,100.0 %,3.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=871343
"Levy, Thomas E","ANAR 143 - Archeology, Anthr & the Bible (A)",SP16,16,11,81.8 %,81.8 %,4.70,B+ (3.33),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865372
"Goldstein, Paul S",ANAR 180 - Archaeology Workshop (A),SP16,8,4,100.0 %,75.0 %,3.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=874486
"Lafleur, Marni M",ANBI 133 - Evolution/Ecology: Great Ape (A),SP16,32,15,100.0 %,100.0 %,4.64,B+ (3.69),B+ (3.56),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865373
"Lafleur, Marni M",ANBI 145 - Bioarchaeology (A),SP16,30,11,100.0 %,100.0 %,3.90,A (4.00),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865374
"Strum, Shirley C.",ANBI 173 - How Monkeys See the World (A),SP16,20,7,83.3 %,83.3 %,4.17,B+ (3.60),B+ (3.30),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865375
"Jenkins, Janis A.",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),SP16,16,14,92.9 %,100.0 %,5.83,A- (3.77),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=872582
"Klimova, Julia Germanovna",ANSC 120 - Anthropology of Religion (A),SP16,30,16,68.8 %,68.8 %,4.79,B+ (3.54),B+ (3.49),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865376
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",SP16,91,49,87.5 %,87.5 %,5.14,A- (3.72),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865377
"Parish, Steven Martin",ANSC 138 - Cultural Design Practicum (A),SP16,13,6,83.3 %,100.0 %,6.17,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865379
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (A),SP16,23,12,83.3 %,100.0 %,5.95,B+ (3.50),B (3.17),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865380
"Varma, Saiba",ANSC 148 - Global Health/Cultrl Diversity (A),SP16,124,83,93.7 %,91.1 %,4.47,B+ (3.60),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865383
"Brenner, Suzanne A",ANSC 154 - Gender and Religion (A),SP16,14,7,85.7 %,85.7 %,5.07,A- (3.86),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865384
"Woolard, Kathryn A","ANSC 162 - Language, Identity & Community (A)",SP16,42,17,100.0 %,87.5 %,4.63,B (3.29),B (3.12),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865385
"Hankins, Joseph D.",ANSC 180 - Labor's Relations (A),SP16,20,14,100.0 %,100.0 %,4.79,A- (3.71),B+ (3.57),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865386
"Fortier, Jana",ANTH 103 - Sociocultural Anthropology (A),SP16,83,41,65.0 %,57.5 %,4.35,B+ (3.34),B (3.21),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865413
"Semendeferi, Ekaterini",ANTH 196C - Honors Studies in Anthropology (A),SP16,4,4,100.0 %,100.0 %,6.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865513
"Klimova, Julia Germanovna",ANTH 21 - Race and Racisms (A),SP16,194,84,89.5 %,88.2 %,3.16,B+ (3.51),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865392
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),SP16,152,114,84.1 %,91.2 %,3.25,B+ (3.51),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865399
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (B),SP16,184,135,90.9 %,94.7 %,3.45,B+ (3.61),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865406
"Levy, Thomas E",ANTH 3 - World Prehistory (A),SP16,34,18,77.8 %,94.4 %,2.61,B+ (3.69),B (3.17),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=865388
"Goldstein, Paul S",ANTH 87 - Freshman Seminar (A),SP16,7,4,66.7 %,100.0 %,0.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=870493
"Goldstein, Paul S",ANAR 156 - Archaeology of South America (A),WI16,38,14,100.0 %,100.0 %,6.21,B+ (3.50),B+ (3.56),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858792
"Algaze, Guillermo",ANAR 182 - Origin/Agriculture & Sedentism (A),WI16,4,3,100.0 %,100.0 %,4.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858794
"Lafleur, Marni M",ANBI 111 - Adv Principles/Human Evolution (A),WI16,34,16,86.7 %,93.3 %,4.10,B+ (3.33),B+ (3.64),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858796
"Non, Amy L",ANBI 131 - Biology and Culture of Race (A),WI16,12,9,100.0 %,100.0 %,4.94,A- (3.71),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858800
"Somerville, Andrew D",ANBI 141 - The Evolution of Human Diet (A),WI16,23,17,100.0 %,100.0 %,3.68,A- (3.88),B+ (3.62),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858801
"Shin, Layoung",ANSC 100 - Spec Top/Socio-Cultural Anthro (B),WI16,19,14,100.0 %,100.0 %,3.50,A- (3.79),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858806
"Haviland, John B.","ANSC 119 - Gesture, Communication & Body (A)",WI16,10,4,75.0 %,100.0 %,4.00,B (3.25),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858807
"Woolard, Kathryn A",ANSC 122 - Language in Society (A),WI16,62,35,90.6 %,96.9 %,4.56,B+ (3.36),B (3.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858808
"Jordan, David K.",ANSC 137 - Chinese Popular Religion (A),WI16,43,16,81.3 %,93.8 %,4.13,B (3.29),B+ (3.33),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858811
"Jenkins, Janis A.",ANSC 150 - Culture and Mental Health (A),WI16,64,54,96.3 %,88.9 %,5.35,B+ (3.64),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858813
"Pedersen, David","ANSC 178 - Brain, Mind, Culture & History (A)",WI16,25,9,77.8 %,88.9 %,6.50,A (4.00),B+ (3.64),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858816
"Fortier, Jana",ANTH 1 - Introduction to Culture (A),WI16,72,44,70.7 %,75.6 %,3.87,B+ (3.33),B (3.12),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858818
"Lafleur, Marni M",ANTH 102 - Humans Are Cultural Animals (A),WI16,104,55,98.1 %,98.1 %,3.69,B+ (3.67),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858846
"Klimova, Julia Germanovna",ANTH 21 - Race and Racisms (A),WI16,207,84,89.5 %,86.8 %,2.42,B+ (3.65),B+ (3.53),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858824
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),WI16,196,171,75.6 %,89.3 %,3.24,B+ (3.48),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858831
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (B),WI16,189,154,80.9 %,94.7 %,3.47,B+ (3.53),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=858839
"Jordan, David K.",ANTH 87 - Freshman Seminar (A),WI16,14,11,100.0 %,100.0 %,1.05,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=860587
"Jordan, David K.",ANTH 87 - Freshman Seminar (B),WI16,13,10,100.0 %,100.0 %,1.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=860593
"Braswell, Geoffrey E.",ANAR 154 - The Aztecs & Their Ancestors (A),FA15,28,23,91.3 %,95.7 %,3.02,B+ (3.38),B (3.24),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847862
"Lafleur, Marni M",ANBI 116 - Evolution/Primate Reproduction (A),FA15,26,15,100.0 %,100.0 %,3.97,B+ (3.57),B+ (3.44),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847871
"Non, Amy L",ANBI 130 - Biology of Inequality (A),FA15,15,9,100.0 %,100.0 %,5.17,B+ (3.33),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852547
"Haviland, John B.",ANSC 118 - Language and Culture (A),FA15,20,10,70.0 %,90.0 %,6.10,B (3.00),B (3.24),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852332
"Klimova, Julia Germanovna",ANSC 121 - Psychological Anthropology (A),FA15,32,9,88.9 %,88.9 %,4.75,B+ (3.67),B+ (3.45),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852131
"Varma, Saiba",ANSC 148 - Global Health/Cultrl Diversity (A),FA15,94,48,91.3 %,87.0 %,5.59,B+ (3.36),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852142
"Friedman, Jonathan A",ANSC 158 - Anthropology of Crisis (A),FA15,14,5,60.0 %,60.0 %,6.10,B+ (3.60),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847877
"Pedersen, David",ANSC 175 - Anthropology of Capitalism (A),FA15,26,9,100.0 %,100.0 %,3.00,A- (3.75),A- (3.73),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852548
"Pedersen, David",ANSC 176 - Critical Military Studies (A),FA15,14,4,75.0 %,75.0 %,2.50,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852549
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA15,96,43,76.7 %,79.1 %,3.83,B+ (3.41),B (3.29),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847914
"Lafleur, Marni M",ANTH 2 - Human Origins (A),FA15,140,73,94.4 %,98.6 %,3.65,B+ (3.50),B (3.12),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852145
"Klimova, Julia Germanovna",ANTH 21 - Race and Racisms (A),FA15,181,78,90.1 %,70.4 %,4.27,A- (3.73),B+ (3.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847888
"Lewis, Leslie R",ANTH 23 - Debating Multiculturalism (A),FA15,295,124,92.2 %,92.2 %,3.95,A- (3.76),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=847897
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (B),FA15,217,89,80.7 %,85.5 %,4.09,B+ (3.42),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=852136
"Braswell, Geoffrey E.",ANAR 100 - Spec Topics/Anth Archaeology (A),S215,23,5,100.0 %,50.0 %,6.00,A (4.00),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=851185
"Goldstein, Paul S",ANAR 119S - Archaeological Field & Lab Cls (A),S215,10,4,75.0 %,75.0 %,0.50,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842956
"Braswell, Geoffrey E.",ANAR 155S - Stdy Abrd: Ancient Mesoamerica (A),S215,23,4,100.0 %,50.0 %,9.50,A (4.00),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=851186
"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),S215,11,11,100.0 %,100.0 %,5.41,B (3.09),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842959
"Welji, Haleema Nazir",ANSC 122 - Language in Society (A),S215,22,12,100.0 %,100.0 %,7.17,B+ (3.57),B+ (3.34),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842961
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S215,30,4,100.0 %,100.0 %,4.50,A (4.00),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842963
"Hanson, Kari Lynne",ANTH 2 - Human Origins (A),S215,23,12,100.0 %,100.0 %,5.00,A- (3.80),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842965
"Parish, Steven Martin",ANTH 21 - Race and Racisms (A),S215,40,14,100.0 %,91.7 %,5.33,A- (3.75),A- (3.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842967
"Garic-Humphrey, Natasa",ANTH 23 - Debating Multiculturalism (A),S215,51,12,81.8 %,72.7 %,5.23,B+ (3.63),B- (2.98),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842969
"Saravia, Paula F",ANSC 105 - Global Health & Inequality (A),S115,11,5,100.0 %,100.0 %,8.50,B+ (3.40),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=850980
"Stewart, Alexander B",ANSC 164 - Intro to Medical Anthropology (A),S115,19,8,100.0 %,85.7 %,5.93,B (3.29),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841982
"Fontana, Erica L",ANTH 1 - Introduction to Culture (A),S115,23,10,100.0 %,100.0 %,4.28,A- (3.88),A- (3.89),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841975
"Saravia, Paula F",ANTH 21 - Race and Racisms (A),S115,32,8,87.5 %,87.5 %,5.50,A- (3.75),B+ (3.58),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841977
"Parker, Ian Nicholas",ANTH 23 - Debating Multiculturalism (A),S115,46,19,88.9 %,83.3 %,7.17,A- (3.78),B (3.28),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841979
"Levy, Thomas E","ANAR 143 - Archeology, Anthr & the Bible (A)",SP15,23,7,100.0 %,100.0 %,4.17,A- (3.80),B+ (3.65),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841339
"Barger, Nicole L.",ANBI 140 - Evolution of Human Brain (A),SP15,38,13,61.5 %,46.2 %,5.73,B (3.17),B (3.10),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841202
"Barger, Nicole L.",ANBI 175 - Modeling Behavior/Early Ancest (A),SP15,13,8,100.0 %,100.0 %,7.25,A- (3.71),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841289
"Parish, Steven Martin",ANSC 101 - Aging: Cult/Health Hum Dev (A),SP15,24,12,100.0 %,100.0 %,4.83,A- (3.91),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835259
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",SP15,66,37,97.3 %,94.6 %,4.23,A- (3.70),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835260
"Novak, Jessica M",ANSC 128 - Culture and Emotion (A),SP15,12,6,100.0 %,83.3 %,6.50,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841291
"Stewart, Alexander B",ANSC 136 - Traditional Chinese Society (A),SP15,22,18,58.8 %,76.5 %,3.68,B (3.19),B (3.24),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841293
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (B),SP15,10,5,100.0 %,100.0 %,2.50,B+ (3.60),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=844571
"Jenkins, Janis A.",ANSC 156 - Mad Films (A),SP15,33,16,100.0 %,93.8 %,3.70,A- (3.71),B (3.28),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835266
"Brenner, Suzanne A",ANSC 159 - Anthropology of Marriage (A),SP15,13,11,100.0 %,100.0 %,7.23,B+ (3.55),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841200
"Woolard, Kathryn A","ANSC 162 - Language, Identity & Community (A)",SP15,37,16,56.3 %,93.8 %,4.63,B (3.00),B (3.10),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835267
"Kramer, Elise A.",ANSC 163 - Culture&Commnication/Education (A),SP15,17,6,100.0 %,100.0 %,5.17,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835269
"Parish, Steven Martin",ANSC 165 - Contemporary South Asia (A),SP15,37,10,80.0 %,90.0 %,2.94,B+ (3.67),A- (3.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835271
"Hankins, Joseph D.",ANTH 103 - Social Anthropology (A),SP15,76,34,100.0 %,100.0 %,5.05,B+ (3.52),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835286
"Semendeferi, Ekaterini",ANTH 196C - Thesis Research (A),SP15,6,4,100.0 %,100.0 %,3.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=841143
"Kramer, Elise A.",ANTH 23 - Debating Multiculturalism (A),SP15,383,148,82.4 %,83.1 %,2.76,B+ (3.64),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835276
"Pedersen, David",ANTH 23 - Debating Multiculturalism (B),SP15,30,11,70.0 %,90.0 %,3.39,B (3.14),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=846489
"Levy, Thomas E",ANTH 3 - World Prehistory (A),SP15,52,23,82.6 %,95.7 %,2.85,B+ (3.47),B+ (3.33),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=835272
"Jordan, David K.",ANTH 87 - Freshman Seminar (A),SP15,6,4,100.0 %,100.0 %,1.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=833256
"Jordan, David K.",ANTH 87 - Freshman Seminar (B),SP15,12,9,100.0 %,100.0 %,1.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=833257
"Levy, Thomas E",ANAR 111 - Anthropological Archaeology (A),WI15,25,13,84.6 %,84.6 %,4.65,B (3.00),B+ (3.45),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824849
"Braswell, Geoffrey E.",ANAR 160 - Ancient Maya: Arch Prob/Persp (A),WI15,10,4,75.0 %,100.0 %,5.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=833792
"Algaze, Guillermo",ANAR 184 - Political Economy/Early Empire (A),WI15,27,7,100.0 %,100.0 %,3.83,B+ (3.67),A- (3.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824851
"Schoeninger, Margaret J",ANBI 100 - Spec Topics/Biological Anthrop (A),WI15,41,22,90.5 %,90.5 %,4.12,B+ (3.38),B+ (3.55),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824853
"Lafleur, Marni M",ANBI 159 - Biological&Cult Persptv/Intell (A),WI15,45,23,91.3 %,87.0 %,4.15,B+ (3.70),B+ (3.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824854
"Woolard, Kathryn A",ANSC 122 - Language in Society (A),WI15,49,26,100.0 %,100.0 %,3.83,B (3.21),B (3.11),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824857
"Kramer, Elise A.","ANSC 127 - Discourse,Interactn&SocialLife (A)",WI15,49,15,86.7 %,80.0 %,4.37,A- (3.73),B (3.25),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824860
"Novak, Jessica M",ANSC 144 - Immigrant and Refugee Health (A),WI15,44,20,80.0 %,85.0 %,4.80,B+ (3.45),B (3.07),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=833862
"Jenkins, Janis A.",ANSC 148 - Global Health/Cultrl Diversity (A),WI15,106,43,83.7 %,65.1 %,4.74,B+ (3.49),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824861
"Stewart, Alexander B",ANTH 1 - Introduction to Culture (A),WI15,94,70,85.5 %,91.3 %,4.32,B+ (3.61),B+ (3.37),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824862
"Lafleur, Marni M",ANTH 102 - Humans Are Cultural Animals (A),WI15,59,27,92.6 %,88.9 %,5.24,A- (3.72),B+ (3.57),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824880
"Novak, Jessica M",ANTH 21 - Race and Racisms (A),WI15,103,43,78.6 %,85.7 %,5.04,B+ (3.44),B (3.11),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824869
"Kramer, Elise A.",ANTH 23 - Debating Multiculturalism (A),WI15,267,111,92.2 %,92.2 %,3.19,B+ (3.63),B+ (3.35),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=824874
"Braswell, Geoffrey E.",ANAR 153 - The Mysterious Maya (A),FA14,37,26,90.9 %,90.9 %,4.05,B+ (3.37),B+ (3.32),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=815455
"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA14,58,31,89.3 %,100.0 %,5.36,B (3.11),B (3.24),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820504
"Lafleur, Marni M",ANBI 148 - Primate Behavioral Ecology (A),FA14,11,8,100.0 %,100.0 %,5.64,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820683
"Kim, Mi Kyung",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),FA14,35,33,97.0 %,84.8 %,5.44,B+ (3.41),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820836
"Hankins, Joseph D.",ANSC 102 - The Anthropology of Work (A),FA14,26,16,93.8 %,93.8 %,5.38,A- (3.94),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820837
"Stasch, Rupert S",ANSC 103 - Photography & Visual Culture (A),FA14,34,17,78.6 %,92.9 %,3.93,A- (3.71),B+ (3.38),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820766
"Kramer, Elise A.",ANSC 118 - Language and Culture (A),FA14,31,17,75.0 %,87.5 %,3.50,B+ (3.50),B (3.26),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820509
"Kim, Mi Kyung",ANSC 121 - Psychological Anthropology (A),FA14,24,21,81.0 %,81.0 %,6.69,B+ (3.33),B+ (3.53),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820835
"Friedman, Jonathan A",ANSC 152 - Cultures of Crisis/Pol Correct (A),FA14,15,7,71.4 %,57.1 %,8.50,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=815466
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA14,103,47,88.4 %,93.0 %,4.88,B+ (3.48),B+ (3.44),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=815486
"Lafleur, Marni M",ANTH 2 - Human Origins (A),FA14,179,114,88.5 %,91.7 %,3.89,B+ (3.61),B+ (3.45),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820677
"Lewis, Leslie R",ANTH 21 - Race and Racisms (A),FA14,188,94,96.3 %,98.8 %,4.25,A- (3.77),B+ (3.63),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=820339
"Kramer, Elise A.",ANTH 23 - Debating Multiculturalism (A),FA14,387,180,91.6 %,92.9 %,3.64,B+ (3.66),B+ (3.44),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=815476
"McComsey, Melanie E",ANSC 122 - Language in Society (A),S214,28,19,84.2 %,89.5 %,5.24,B (3.25),B (3.05),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812927
"Itzhak, Nofit",ANSC 164 - Intro to Medical Anthropology (A),S214,24,10,100.0 %,100.0 %,7.39,B (3.22),C+ (2.70),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812929
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S214,24,5,100.0 %,100.0 %,2.50,A (4.00),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812931
"Somerville, Andrew D",ANTH 2 - Human Origins (A),S214,20,3,100.0 %,100.0 %,5.83,A (4.00),A- (3.82),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812935
"Tucker Sade, Alexis E",ANTH 21 - Race and Racisms (A),S214,36,11,88.9 %,88.9 %,4.50,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812940
"Garic-Humphrey, Natasa",ANTH 23 - Debating Multiculturalism (A),S214,58,14,91.7 %,83.3 %,4.17,B+ (3.60),B (3.20),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812942
"Braswell, Geoffrey E.",ANAR 100 - Spec Topics/Anth Archaeology (A),S114,15,6,100.0 %,100.0 %,4.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812284
"Jones, Ian W",ANAR 103 - Archaeology in the Holy Land (A),S114,6,3,100.0 %,100.0 %,9.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812286
"Braswell, Geoffrey E.",ANAR 155S - Stdy Abrd: Ancient Mesoamerica (A),S114,15,6,100.0 %,100.0 %,3.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812287
"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),S114,19,17,88.2 %,100.0 %,6.74,B+ (3.38),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812295
"Saravia, Paula F",ANSC 148 - Global Health/Cultrl Diversity (A),S114,19,4,100.0 %,100.0 %,9.50,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812299
"Rothschild, Amy C",ANTH 1 - Introduction to Culture (A),S114,23,8,87.5 %,87.5 %,7.75,B+ (3.63),B+ (3.64),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812301
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),S114,47,33,93.9 %,97.0 %,4.98,B+ (3.61),B (3.28),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812304
"Levy, Thomas E","ANAR 143 - Archeology, Anthr & the Bible (A)",SP14,38,25,64.0 %,72.0 %,5.80,B (3.08),B- (2.76),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=805612
"Braswell, Geoffrey E.",ANAR 154 - The Aztecs & Their Ancestors (A),SP14,42,25,91.3 %,100.0 %,4.24,B+ (3.40),B (3.03),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=810525
